ID,name,acronym
1,Left_Anterior_amygdalar_area,AAA
2,Right_Anterior_amygdalar_area,AAA
3,Left_Anterior_cingulate_area_dorsal_part_layer_1,ACAd1
4,Right_Anterior_cingulate_area_dorsal_part_layer_1,ACAd1
5,Left_Anterior_cingulate_area_dorsal_part_layer_2/3,ACAd2/3
6,Right_Anterior_cingulate_area_dorsal_part_layer_2/3,ACAd2/3
7,Left_Anterior_cingulate_area_dorsal_part_layer_5,ACAd5
8,Right_Anterior_cingulate_area_dorsal_part_layer_5,ACAd5
9,Left_Anterior_cingulate_area_dorsal_part_layer_6a,ACAd6a
10,Right_Anterior_cingulate_area_dorsal_part_layer_6a,ACAd6a
11,Left_Anterior_cingulate_area_dorsal_part_layer_6b,ACAd6b
12,Right_Anterior_cingulate_area_dorsal_part_layer_6b,ACAd6b
13,Left_Anterior_cingulate_area_ventral_part_layer_1,ACAv1
14,Right_Anterior_cingulate_area_ventral_part_layer_1,ACAv1
15,Left_Anterior_cingulate_area_ventral_part_layer_2/3,ACAv2/3
16,Right_Anterior_cingulate_area_ventral_part_layer_2/3,ACAv2/3
17,Left_Anterior_cingulate_area_ventral_part_layer_5,ACAv5
18,Right_Anterior_cingulate_area_ventral_part_layer_5,ACAv5
19,Left_Anterior_cingulate_area_ventral_part_6a,ACAv6a
20,Right_Anterior_cingulate_area_ventral_part_6a,ACAv6a
21,Left_Anterior_cingulate_area_ventral_part_6b,ACAv6b
22,Right_Anterior_cingulate_area_ventral_part_6b,ACAv6b
23,Left_Nucleus_accumbens,ACB
24,Right_Nucleus_accumbens,ACB
25,Left_anterior_commissure_olfactory_limb,aco
26,Right_anterior_commissure_olfactory_limb,aco
27,Left_anterior_commissure_temporal_limb,act
28,Right_anterior_commissure_temporal_limb,act
29,Left_Accessory_facial_motor_nucleus,ACVII
30,Right_Accessory_facial_motor_nucleus,ACVII
31,Left_Anterodorsal_nucleus,AD
32,Right_Anterodorsal_nucleus,AD
33,Left_Anterodorsal_preoptic_nucleus,ADP
34,Right_Anterodorsal_preoptic_nucleus,ADP
35,Left_Anterior_hypothalamic_nucleus,AHN
36,Right_Anterior_hypothalamic_nucleus,AHN
37,Left_Agranular_insular_area_dorsal_part_layer_1,AId1
38,Right_Agranular_insular_area_dorsal_part_layer_1,AId1
39,Left_Agranular_insular_area_dorsal_part_layer_2/3,AId2/3
